物件ID,出展元,取得日,種別細目,種別コード,都道府県コード,市町村コード,町名コード,都道府県名,市町村名,町名,住所詳細,原本住所,物件名,部屋名,価格,旧価格,面積,地目,土地権利,用途地域,建ぺい率,容積率,建物面積,建築年月,"建物構造",間取り数,間取りタイプ,間取り詳細,備考,取引態様,transaction_type_code,駐車場,駐車料金,階数,総階数,現況,引渡し,引渡日,コメント,取扱業者,担当,広告,交通,道路,管理形態,総建物面積,バルコニー面積,管理費,積立金,登録日,確認日,価格変更日,URL,ペット可,建築条件,pic01,更新フラグ,新着フラグ
5421300771,ライフルホームズ,"2026-01-12 07:28:38",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,土地,,1300,,152.33,宅地,所有権,第一種中高層住居専用,60,200,,,,,,,,一般媒介(自社物),,その他,,,,更地,相談,,"
",有限会社タナベ不動産,,,"バス 厳山バス停下車 徒歩2分",,,,,,,2025-05-12,2026-01-02,,https://www.homes.co.jp/tochi/b-32122150000139/,0,0,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F3212215%2Fsale%2F139%2F2%2F2%2Fle0u.jpg&width=208&height=138,,0
2249420580,不動産ジャパン,"2026-01-12 03:58:04",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,3500,,1057.19,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,媒介,9,,,,,古家有,,,"現況渡

４７１－２と４７１－３の間に里道あり
","株式会社 レイクスコーポレーション",,,"山陽本線 「東福山」駅 徒歩38分  巌山バス停 徒歩2分",,,,,0,0,2018-04-22,2026-01-12,,https://www.fudousan.or.jp/property/detail?p_no=000004061104,,,https://img4.athome.jp/image_files/index/bukken/6953698542/1,,0
5568086327,不動産ジャパン,"2026-01-12 03:57:11",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,1972,,176.36,宅地,所有権,第一種住居地域,60%,160%,,,,,,,,売主,1,,,,,更地,,,"建築条件付　現況渡

本分譲地の土地売買契約は、契約締結後３ヶ月以内に売主である(株)タナカホームズとの間で建築工事請負契約が成立することを条件として効力を生じます。期限までに、建築工事請負契約が成立しなかったときは、土地売買契約の無効が確定し、受領済の手付金等は、全額無利息にてすみやかに返還いたします。
【工事完了年月日】2025年07月",（株）タナカホームズ,,,"山陽本線 「福山」駅 徒歩34分  
蔀山バス停 徒歩4分","一方道路
 西 幅4m 私道 接面8.3m",,,,0,0,2025-07-16,2026-01-12,,https://www.fudousan.or.jp/property/detail?p_no=000012548257,,1,https://storage3.zentaku.or.jp/prod/034/79680/regsys/5103422142/image/e7596cba-bd17-46dc-a276-6542bb04179a.jpg,,0
5943598426,不動産ジャパン,"2026-01-12 04:06:14",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,新築一戸建,,3490,,134.00,,所有権,第一種住居地域,60%,200%,102.68,2026-03-01,木造,4,LDK,,,売主,1,,,,,未完成,,,"


【工事完了年月日】2026年03月","（株）アイダ設計 福山店","アイダ設計　福山店 (tel:050-3128-1209)",,"山陽本線 「福山」駅 バス12分  三吉町北バス停 徒歩12分",,,,,0,0,2025-12-24,2026-01-12,,https://www.fudousan.or.jp/property/detail?p_no=000013014794,,,https://storage3.zentaku.or.jp/prod/034/227576/regsys/5104063228/image/5104063228_76e7a66bc2.jpg,,0
5694870634,不動産ジャパン,"2026-01-12 04:07:45",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,新築一戸建,,4690,,181.40,,所有権,第一種住居地域,60%,160%,59.62,2026-01-01,木造,3,LDK,,,売主,1,,,,,未完成,,,"
日当り良好　閑静住宅街
・法22条区域・景観計画区域・立地適正化計画区域・住居誘導区域・都市機能誘導区域(中央)・下水処理区域
【工事完了年月日】2026年01月",（株）タナカホームズ,,,"山陽本線 「福山」駅 徒歩34分  
山陽本線 「福山」駅 徒歩34分  蔀山バス停 徒","一方道路
 西 幅4m 私道 接面8.3m 位置指定有",,,,0,0,2025-09-10,2026-01-12,,https://www.fudousan.or.jp/property/detail?p_no=000012703015,,,https://storage3.zentaku.or.jp/prod/034/79680/regsys/5103753971/image/00adc8f3-8731-4e0a-bb62-9abd381cce96.jpg,,0
5171764076,不動産ジャパン,"2026-01-12 03:58:56",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,380,580,257.00,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,専属専任媒介,3,,,,,古家有,,,"現況渡

住宅2階建て以下
",（株）不動産情報センター,,,"綱木バス停 徒歩3分","一方道路
 南 幅2.7m 私道",,,,0,0,2025-01-19,2026-01-12,2025-10-23,https://www.fudousan.or.jp/property/detail?p_no=000011976621,,,https://storage3.zentaku.or.jp/prod/034/54088/regsys/5103161230/image/5103161230_3e512f5522.jpg,0,0
5905683848,不動産ジャパン,"2026-01-12 03:58:21",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,400,,96.88,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,専任媒介,4,,,,,更地,,,"建築条件なし

セットバックで道路提供しますと、有効面積は約20坪となります。
",タカセ不動産株式会社福山店,,,"山陽本線「福山」からバスにて10分 「厳山」下車 徒歩3分","一方道路
 南 幅2m 私道",,,,0,0,2025-12-09,2026-01-12,,https://www.fudousan.or.jp/property/detail?p_no=000012969306,,0,,,0
5218159758,ライフルホームズ,"2026-01-12 07:28:55",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,新築戸建,,3750,3650,132.71,宅地,所有権,第一種住居,60,200,109.50,2025-12-01,木造,3,LDK,,,専任媒介(自社物),,空有2台,,,2,未完成,相談,,"
","山下不動産 ",,,"JR山陽本線 福山駅 徒歩32分",一方,,,,,,2025-02-09,2026-01-06,2025-07-21,https://www.homes.co.jp/kodate/b-32136250000200/,0,0,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F3213625%2Fsale%2F200%2F2%2F2%2F0xx2.jpg,0,0
5322269839,ハトマークサイト,"2026-01-12 01:51:13",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,1300,,152.33,宅地,,第一種中高層住居専用地域,60％,200％,,,,,,,,,,,,,,,,,物件種目：売地,(有)タナベ不動産,,,"厳山バス停停 徒歩2分",,,,,0,0,2025-03-28,2026-01-12,,https://www.hatomarksite.com/search/zentaku/bukken/5103341713,,,https://storage3.zentaku.or.jp/prod/034/54417/regsys/5103341713/image/5103341713_1f06806b5f.jpg,,0
5254026138,不動産ジャパン,"2026-01-12 03:57:11",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,1200,1250,152.33,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,売主,1,,,,,更地,,,"更地渡

前面道路は位置指定道路。水道管私設管（共同使用）
","ＡＢｅａｍＣｏｒｐｏｒａｔｉｏｎ 株式会社",,,"福塩線 「福山」駅 徒歩34分  車14分
福山駅から一般道利用の場合",,,,,0,0,2025-02-25,2026-01-12,2025-12-04,https://www.fudousan.or.jp/property/detail?p_no=000012109156,,,https://img4.athome.jp/image_files/index/bukken/6985340420/1,0,0
5217391006,ハトマークサイト,"2026-01-12 02:01:13",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,新築一戸建,,3750,3650,132.71,,,,60％,200％,109.50,2025-12-01,,3,LDK,,,,,,,,,,,,物件種目：新築一戸建,山下不動産,,,"山陽本線福山駅 徒歩32分",,,,,0,0,2025-02-09,2026-01-12,2025-07-21,https://www.hatomarksite.com/search/zentaku/bukken/5103278374,,,https://storage3.zentaku.or.jp/prod/034/89032/regsys/5103278374/image/5103278374_849ad84338.jpg,0,0
5168667551,ハトマークサイト,"2026-01-12 01:53:56",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,380,580,257.00,宅地,,第一種中高層住居専用地域,60％,200％,,,,,,,,,,,,,,,,,物件種目：売地,(株)不動産情報センター,,,"綱木停 徒歩3分",,,,,0,0,2025-01-18,2026-01-12,2025-10-22,https://www.hatomarksite.com/search/zentaku/bukken/5103161230,,,https://storage3.zentaku.or.jp/prod/034/54088/regsys/5103161230/image/5103161230_3e512f5522.jpg,0,0
5691747258,ハトマークサイト,"2026-01-12 02:03:50",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,2階建て　西深津建売住宅,,4690,,181.40,,,,60％,160％,59.62,2026-01-01,,3,LDK,,,,,,,,,,,,物件種目：新築一戸建,(株)タナカホームズ,,,"山陽本線福山駅 徒歩34分 ?
山陽本線福山駅 徒歩34分 バス乗車8分 中国バス蔀山停 ",,,,,0,0,2025-09-09,2026-01-12,,https://www.hatomarksite.com/search/zentaku/bukken/5103753971,,,https://storage3.zentaku.or.jp/prod/034/79680/regsys/5103753971/image/e9535e6e-29f9-4955-b374-25a77f114e7c.jpg,,0
5565127356,ハトマークサイト,"2026-01-12 01:44:52",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,ティーズコート　西深津　２号地,,1972,,176.36,宅地,,第一種住居地域,60％,160％,,,,,,,,,,,,,,,,,"物件種目：売地 / 最適用途：住宅用地",(株)タナカホームズ,,,"山陽本線福山駅 徒歩34分 ?
中国バス蔀山停 徒歩4分",,,,,0,0,2025-07-15,2026-01-12,,https://www.hatomarksite.com/search/zentaku/bukken/5103422142,,,https://storage3.zentaku.or.jp/prod/034/79680/regsys/5103422142/image/4d1f809c-bf4e-415d-8a9c-4d7535a213aa.jpg,,0
5325184446,不動産ジャパン,"2026-01-12 03:58:21",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,1300,,152.33,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,一般媒介,5,,,,,更地,,,"現況渡


",（有）タナベ不動産,,,"厳山バス停バス停 徒歩2分",,,,,0,0,2025-03-29,2026-01-12,,https://www.fudousan.or.jp/property/detail?p_no=000012219129,,,https://storage3.zentaku.or.jp/prod/034/54417/regsys/5103341713/image/5103341713_1f06806b5f.jpg,,0
5590124993,ライフルホームズ,"2026-01-12 07:28:16",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,土地,,400,500,66.14,宅地,所有権,第一種中高層住居専用,60,200,,,,,,,,一般媒介(自社物),,その他,,,,更地,相談,,"登記上の面積は96.88m2（29.31坪）ですが、セットバックで道路提供しますと、有効面積は約20坪になります。駐車場用地として検討されてみませんか？まずお気軽にタカセ不動産までお問合せ下さい
",タカセ不動産株式会社　福山店,,,"JR山陽本線 福山駅 バス10分 厳山バス下車 徒歩3分",一方,,,,,,2025-07-26,2026-01-09,2025-12-07,https://www.homes.co.jp/tochi/b-1404320000658/,0,0,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F140432%2Fsale%2F658%2F2%2F1%2Fs23c.jpg&width=208&height=138,0,0
5940081614,ハトマークサイト,"2026-01-12 01:56:45",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,新築一戸建,,3490,,134.00,,,,60％,200％,102.68,2026-03-01,,4,LDK,,,,,,,,,,,,物件種目：新築一戸建,(株)アイダ設計　福山店,,,"山陽本線福山駅 バス乗車12分 三吉町北停 徒歩12分",,,,,0,0,2025-12-23,2026-01-12,,https://www.hatomarksite.com/search/zentaku/bukken/5104063228,,,https://storage3.zentaku.or.jp/prod/034/227576/regsys/5104063228/image/5104063228_76e7a66bc2.jpg,,0
5220526567,不動産ジャパン,"2026-01-12 04:07:09",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,新築一戸建,,3750,3650,132.71,,所有権,第一種住居地域,60%,200%,109.50,2025-12-01,木造,3,LDK,,,専任媒介,4,有,,,,未完成,,,"


【工事完了年月日】2025年12月",山下不動産,"山下 (tel:090-3749-1230)",,"山陽本線 「福山」駅 徒歩32分","一方道路
 東 幅4m 私道 接面10m",,,,0,0,2025-02-10,2026-01-12,2025-07-22,https://www.fudousan.or.jp/property/detail?p_no=000012055401,,,https://storage3.zentaku.or.jp/prod/034/89032/regsys/5103278374/image/5103278374_849ad84338.jpg,0,0
5797772225,アットホーム,"2026-01-12 01:46:16",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,"福山市 西深津町６丁目200番6 他",新築戸建,,3490,,134.20,,,,,,102.68,2026-04-01,,4,LDK,,,,,,,,,,,,"認定こども園ふかつまで徒歩10分（780m）、福山マリヤ保育園まで徒歩8分（610m）なのでお子様の送り迎えに便利です。
対面式キッチンはLDKを見渡せるのでご家族と会話を楽しみながら家事をすることができます。
全室収納完備！お部屋のスペースも広く感じられます。",(株)アイダ設計　福山店,,,"ＪＲ山陽本線 「福山」駅 バス12分 「三吉町北」 停歩12分",,,,,,,2025-10-26,2026-01-12,,https://www.athome.co.jp/kodate/3919319802/?DOWN=1&BKLISTID=001LPC&SEARCHDIV=1&sref=list_simple,,0,,,0
29303672,アットホーム,"2026-01-12 01:31:11",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,福山市西深津町６丁目,土地,,3500,,1057.19,,,,60%,200%,,,,,,,,,,,,,,,,,"【最適用途】住宅用地
","(株)レイクスコーポレーション（福塩線/神辺 徒歩17分）",,,"ＪＲ山陽本線 「東福山」駅 徒歩38分[バス利用可] バス 巌山 停歩2分",,,,,,,2016-07-24,2026-01-12,,https://www.athome.co.jp/tochi/6953698542/?DOWN=1&BKLISTID=001LPC&SEARCHDIV=1&sref=list_simple,,0,,,0
4723396747,アットホーム,"2026-01-12 01:56:58",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,福山市西深津町６丁目,新築戸建,,3750,3650,132.71,,,,,,109.50,2025-10-01,,3,LDK,,,,,,,,,,,,,山下不動産,,,"福塩線 「福山」駅 徒歩32分",,,,,,,2024-06-28,2026-01-12,2025-07-21,https://www.athome.co.jp/kodate/6982753023/?DOWN=1&BKLISTID=001LPC&SEARCHDIV=1&sref=list_simple,,0,,0,0
5170077627,アットホーム,"2026-01-12 01:28:03",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,福山市西深津町６丁目,土地,,380,580,257.00,,,,60%,200%,,,,,,,,,,,,,,,,,"【最適用途】住宅用地
","(株)不動産情報センター（ＪＲ山陽本線/福山 徒歩15分）",,,"ＪＲ山陽本線 「東福山」駅 徒歩36分[バス利用可] バス 綱木 停歩3分",,,,,,,2025-01-18,2026-01-12,2025-10-22,https://www.athome.co.jp/tochi/6984859912/?DOWN=1&BKLISTID=001LPC&SEARCHDIV=1&sref=list_simple,,0,,0,0
5252171497,アットホーム,"2026-01-12 01:26:41",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,福山市西深津町６丁目,土地,,1200,1250,152.33,,,,60%,200%,,,,,,,,,,,,,,,,,"【最適用途】住宅用地
","セントラルホーム不動産　ＡＢｅａｍ　Ｃｏｒｐｏｒａｔｉｏｎ(株)（ＪＲ山陽本線/福山 徒歩",,,"福塩線 「福山」駅 徒歩34分",,,,,,,2025-02-24,2026-01-12,2025-12-03,https://www.athome.co.jp/tochi/6985340420/?DOWN=1&BKLISTID=001LPC&SEARCHDIV=1&sref=list_simple,,0,,0,0
3184248421,不動産ジャパン,"2026-01-12 03:58:56",1101,11,34,34207,342070043004,広島県,福山市,西深津町四丁目,,広島県福山市西深津町４丁目,売地,,800,980,173.55,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,専任媒介,4,,,,,更地,,,"現況渡
セットバック要 13.00㎡
●東側道路　共有持分80分の7は無償譲渡とする　【法令上の制限：宅地造成工事規制区域】
",（株）瀬良商店,,,"西深津三丁目バス停 徒歩3分","二方道路（除角地）
 北 幅2.5m 公道 接面13m
 東 幅3m 私道 接面8m",,,,0,0,2022-05-02,2026-01-12,2025-10-16,https://www.fudousan.or.jp/property/detail?p_no=000008416878,,,https://storage3.zentaku.or.jp/prod/034/100182/regsys/6002894493/image/6002894493_dd0c4ac33c.jpg,0,0
3184432274,ハトマークサイト,"2026-01-12 01:53:24",1101,11,34,34207,342070043004,広島県,福山市,西深津町四丁目,,広島県福山市西深津町４丁目,売地,,800,980,173.55,宅地,,第一種中高層住居専用地域,60％,200％,,,,,,,,,,,,,,,即時,,"物件種目：売地 / 最適用途：住宅用地",(株)瀬良商店,,,"西深津三丁目停 徒歩3分",,,,,0,0,2022-05-02,2026-01-12,2025-10-15,https://www.hatomarksite.com/search/zentaku/bukken/6002894493,,0,https://storage3.zentaku.or.jp/prod/034/100182/regsys/6002894493/image/6002894493_dd0c4ac33c.jpg,0,0
4431180460,ハトマークサイト,"2026-01-12 01:55:13",1101,11,34,34207,342070043004,広島県,福山市,西深津町四丁目,,広島県福山市西深津町４丁目,売地,,650,700,165.28,宅地,,第一種中高層住居専用地域,60％,200％,,,,,,,,,,,,,,,,,"物件種目：売地 / 最適用途：住宅用地",ミサワホーム中国(株)福山営業所,,,"山陽本線福山駅 徒歩30分",,,,,0,0,2024-02-13,2026-01-12,2024-12-15,https://www.hatomarksite.com/search/zentaku/bukken/5102395833,,,https://storage3.zentaku.or.jp/prod/034/55178/regsys/5102395833/image/5102395833_33830f6471.jpg,0,0
4434304724,不動産ジャパン,"2026-01-12 03:59:31",1101,11,34,34207,342070043004,広島県,福山市,西深津町四丁目,,広島県福山市西深津町４丁目,売地,,650,700,165.28,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,一般媒介,5,,,,,古家有,,,"現況渡
セットバック要 4.75㎡
【法令上の制限：43条2項2号（基準11）に適用するように建築計画が必要】
",ミサワホーム中国（株）福山営業所,"三川　修治 (tel:084-932-2311)",,"山陽本線 「福山」駅 徒歩30分","一方道路
 南西 幅3m 私道 接面9.5m",,,,0,0,2024-02-14,2026-01-12,2024-12-16,https://www.fudousan.or.jp/property/detail?p_no=000010850853,,,https://storage3.zentaku.or.jp/prod/034/55178/regsys/5102395833/image/5102395833_33830f6471.jpg,0,0
5773412730,ライフルホームズ,"2026-01-12 07:28:37",1101,11,34,34207,342070043004,広島県,福山市,西深津町四丁目,100-1,広島県福山市西深津町４丁目100-1,土地,,800,,173.55,宅地,所有権,第一種中高層住居専用,60,200,,,,,,,,専任媒介(自社物),,その他,,,,更地,即時,,●建築条件はありません　●コモンステージ深津、住宅団地のすぐ下の土地です●東側道路　共有持分80分の7は無償譲渡とする,株式会社瀬良商店,,,"バス 西深津三丁目下車 徒歩3分",二方(除角地),,,,,,2025-10-15,2025-12-31,,https://www.homes.co.jp/tochi/b-32122140000264/,0,0,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F3212214%2Fsale%2F264%2F2%2F2%2Frm26.jpg&width=208&height=138,,0
3753458027,アットホーム,"2026-01-12 01:31:04",1101,11,34,34207,342070043004,広島県,福山市,西深津町四丁目,,福山市西深津町４丁目,土地,,800,980,173.55,,,,60%,200%,,,,,,,,,,,,,,,,,"【最適用途】住宅用地
","(株)瀬良商店（ＪＲ山陽本線/福山 徒歩10分）",,,"【バス】西深津三丁目 停歩3分",,,,,,,2023-03-09,2026-01-12,2025-10-15,https://www.athome.co.jp/tochi/6978622347/?DOWN=1&BKLISTID=001LPC&SEARCHDIV=1&sref=list_simple,,0,,0,0
4432472813,アットホーム,"2026-01-12 01:30:52",1101,11,34,34207,342070043004,広島県,福山市,西深津町四丁目,,福山市西深津町４丁目,土地,,650,700,165.28,,,,60%,200%,,,,,,,,,,,,,,,,,"【最適用途】住宅用地
ハザードに強いエリア","ミサワホーム中国(株)　福山営業所（ＪＲ山陽本線/福山 徒歩16分）",,,"ＪＲ山陽本線 「福山」駅 徒歩30分",,,,,,,2024-02-13,2026-01-12,2024-12-14,https://www.athome.co.jp/tochi/6981402224/?DOWN=1&BKLISTID=001LPC&SEARCHDIV=1&sref=list_simple,,0,,0,0
